circle_amount,file_name,size,prompt,correct_answer,correct_key_resp,condition_size,condition_lined,practice_section.thisRepN,practice_section.thisTrialN,practice_section.thisN,practice_section.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials_low.thisRepN,trials_low.thisTrialN,trials_low.thisN,trials_low.thisIndex,trials_high.thisRepN,trials_high.thisTrialN,trials_high.thisN,trials_high.thisIndex,image_2.started,image_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,cross_2.started,cross_2.stopped,practice_low.started,practice_low.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,yes_no_prac.started,yes_no_prac.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,cross.started,cross.stopped,text.started,text.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,21.76070119999349,None,z,1.564069899963215,21.76070119999349,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
2,2_circles_lined.png,"(0.5, 0.25)",There were 3 circles,No,m,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,23.408323899959214,24.418429599958472,24.901629299973138,25.90152680000756,26.40180289989803,None,m,0.8079346999293193,26.40180289989803,None,26.40180289989803,None,27.245251399930567,None,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
2,2_circles_lined.png,"(0.5, 0.25)",There were 2 circles,Yes,z,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,28.253527499968186,29.26740599994082,29.751529600005597,30.751243399921805,31.250410999986343,None,z,0.5487811000784859,31.250410999986343,None,31.250410999986343,None,31.81723379995674,None,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
3,3_circles_notlined.png,"(0.5, 0.5)",There were 3 circles,Yes,z,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,32.825253999908455,33.834508499945514,34.31822709995322,35.31728839990683,35.8184581999667,None,z,0.6137688000453636,35.8184581999667,None,35.8184581999667,None,36.451380599988624,None,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
3,3_circles_notlined.png,"(0.5, 0.5)",There were 4 circles,No,m,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,37.45790499995928,38.46787960000802,38.93479769991245,39.93479430000298,40.43469569995068,None,m,0.5306027999613434,40.43469569995068,None,40.43469569995068,None,40.98400679999031,None,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
4,4_circles_lined.png,"(0.5, 0.5)",There were 5 circles,No,m,,,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,42.00250119995326,43.01814979990013,43.50038499990478,44.501381299924105,45.00027179997414,None,m,0.7059146000538021,45.00027179997414,None,45.00027179997414,None,45.73475939990021,None,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
4,4_circles_lined.png,"(0.5, 0.5)",There were 4 circles,Yes,z,,,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,,46.74157779989764,47.75104589993134,48.217295599984936,49.217753599979915,49.71692769997753,None,z,0.6400234000757337,49.71692769997753,None,49.71692769997753,None,50.384273499948904,None,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
4,4_circles_lined.png,"(0.5, 0.5)",There were 3 circles,No,m,Low,Yes,0,0,0,0,,,,,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,51.41720589995384,None,z,7.076163800084032,51.41720589995384,None,None,None,None,None,58.56134389992803,59.56784529995639,61.05154329992365,None,60.05062419991009,60.55078930000309,m,0.8689469000091776,61.05154329992365,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
4,4_circles_notlined.png,"(0.6, 0.5)",There were 3 circles,No,m,Low,No,0,0,0,0,,,,,0,1,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.967002799967304,62.96753709996119,64.46761069993954,None,63.46748279989697,63.96731539990287,m,0.5195798999629915,64.46761069993954,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
2,2_circles_lined.png,"(0.5, 0.25)",There were 3 circles,No,m,Low,Yes,0,0,0,0,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.01745549996849,66.0171361999819,67.51660109998193,None,66.50074129994027,67.00089339993428,m,0.502711100038141,67.51660109998193,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
5,5_circles_notlined.png,"(0.7, 0.5)",There were 6 circles,No,m,Low,No,0,0,0,0,,,,,0,3,3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.08180699998047,69.08390779991169,70.58393579989206,None,69.58321589999832,70.0839202000061,m,0.5408246000297368,70.58393579989206,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
3,3_circles_lined.png,"(0.75, 0.25)",There were 3 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.15641880000476,72.1673935999861,73.65074059995823,None,72.65063649998046,73.15027369989548,z,0.3926567999878898,73.65074059995823,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
5,5_circles_notlined.png,"(0.7, 0.5)",There were 5 circles,Yes,z,Low,No,0,0,0,0,,,,,0,5,5,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.08740939991549,75.10046119999606,76.58329599990975,None,75.58296059991699,76.08412539993878,z,0.42923999996855855,76.58329599990975,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
2,2_circles_notlined.png,"(0.5, 0.5)",There were 4 circles,No,m,Low,No,0,0,0,0,,,,,0,6,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.05207189999055,78.06688519997988,79.5504673999967,None,78.55044659995474,79.05088669992983,m,0.44517250009812415,79.5504673999967,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
3,3_circles_notlined.png,"(0.5, 0.5)",There were 3 circles,Yes,z,Low,No,0,0,0,0,,,,,0,7,7,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0229952998925,81.03364549996331,82.51726369990502,None,81.51642719993833,82.01743989996612,z,0.4841745999874547,82.51726369990502,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
4,4_circles_lined.png,"(0.5, 0.5)",There were 5 circles,No,m,Low,Yes,0,0,0,0,,,,,0,8,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.02824619994499,84.03278649994172,85.51698119996581,None,84.51715229998808,85.01651659992058,m,0.40322820004075766,85.51698119996581,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
5,5_circles_lined.png,"(0.75, 0.5)",There were 5 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,9,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.96726299996953,86.96725009998772,88.46733589994255,None,87.46621459990274,87.96722369990312,z,0.398198299924843,88.46733589994255,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
3,3_circles_notlined.png,"(0.5, 0.5)",There were 2 circles,No,m,Low,No,0,0,0,0,,,,,0,10,10,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.8908505999716,89.89989399991464,91.36661719996482,None,90.36675149993971,90.86729269998614,m,0.5836304000113159,91.36661719996482,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
4,4_circles_lined.png,"(0.5, 0.5)",There were 4 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,11,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.97641249990556,92.98273739998695,94.46671139996033,None,93.46713359991554,93.96644180000294,z,0.4217338999733329,94.46671139996033,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
2,2_circles_lined.png,"(0.5, 0.25)",There were 2 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.91991619998589,95.93365719995927,97.41690839990042,None,96.41675689991098,96.91672159999143,z,0.40356340003199875,97.41690839990042,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
5,5_circles_notlined.png,"(0.7, 0.5)",There were 4 circles,No,m,Low,No,0,0,0,0,,,,,0,13,13,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.8782192999497,98.8833394999383,100.3667967999354,None,99.36664049990941,99.86662839993369,m,0.45130670000799,100.3667967999354,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
4,4_circles_notlined.png,"(0.6, 0.5)",There were 4 circles,Yes,z,Low,No,0,0,0,0,,,,,0,14,14,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.85004749998916,101.8499435998965,103.34949789999519,None,102.34991119999904,102.84982209990267,z,0.41528369998559356,103.34949789999519,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
2,2_circles_notlined.png,"(0.5, 0.5)",There were 2 circles,Yes,z,Low,No,0,0,0,0,,,,,0,15,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.78867199993692,104.79934799997136,106.28335199994035,None,105.2832894999301,105.78369059995748,z,0.44420939998235554,106.28335199994035,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
5,5_circles_lined.png,"(0.75, 0.5)",There were 6 circles,No,m,Low,Yes,0,0,0,0,,,,,0,16,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.76170639996417,107.76576229999773,109.24903849989641,None,108.25027789990418,108.7502317999024,m,0.4952447999967262,109.24903849989641,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
4,4_circles_notlined.png,"(0.6, 0.5)",There were 4 circles,Yes,z,Low,No,0,0,0,0,,,,,0,17,17,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.78296929993667,110.78354919992853,112.28346929990221,None,111.28240239992738,111.78234859998338,z,0.41711560008116066,112.28346929990221,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
2,2_circles_notlined.png,"(0.5, 0.5)",There were 2 circles,Yes,z,Low,No,0,0,0,0,,,,,0,18,18,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.72310199995991,113.73305559996516,115.21606839995366,None,114.21672899997793,114.71667029999662,z,0.405422699986957,115.21606839995366,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
3,3_circles_lined.png,"(0.75, 0.25)",There were 3 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,19,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.65509989997372,116.66647659998853,118.14963010000065,None,117.14962499996182,117.64950739999767,z,0.48739719996228814,118.14963010000065,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
5,5_circles_lined.png,"(0.75, 0.5)",There were 5 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,20,20,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.67929819994606,119.68328080000356,121.16621870000381,None,120.16652199998498,120.6663247999968,z,0.40742240007966757,121.16621870000381,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
3,3_circles_lined.png,"(0.75, 0.25)",There were 4 circles,No,m,Low,Yes,0,0,0,0,,,,,0,21,21,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.60268809995614,122.61619099997915,124.09945320000406,None,123.09890809992794,123.59998559998348,m,0.4645162000088021,124.09945320000406,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
5,5_circles_lined.png,"(0.75, 0.5)",There were 4 circles,No,m,Low,Yes,0,0,0,0,,,,,0,22,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.59316329995636,125.59919869992882,127.08209299994633,None,126.08299139991868,126.58252929989249,m,0.5279998999321833,127.08209299994633,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
2,2_circles_lined.png,"(0.5, 0.25)",There were 4 circles,No,m,Low,Yes,0,0,0,0,,,,,0,23,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.63393239991274,128.649447600008,130.13271319994237,None,129.13275150000118,129.63241439999547,m,0.6091613000025973,130.13271319994237,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
2,2_circles_lined.png,"(0.5, 0.25)",There were 2 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,24,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.77079599990975,131.7822967999382,133.26532759994734,None,132.26636449992657,132.76570289989468,z,0.40025229996535927,133.26532759994734,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
3,3_circles_lined.png,"(0.75, 0.25)",There were 2 circles,No,m,Low,Yes,0,0,0,0,,,,,0,25,25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.68456959992182,134.69964479992632,136.18296869995538,None,135.1829680999508,135.68289890000597,m,0.553091699955985,136.18296869995538,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
5,5_circles_notlined.png,"(0.7, 0.5)",There were 5 circles,Yes,z,Low,No,0,0,0,0,,,,,0,26,26,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.79668759997003,137.79901509999763,139.28278669994324,None,138.28244509990327,138.78199909999967,z,0.4048592000035569,139.28278669994324,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
4,4_circles_lined.png,"(0.5, 0.5)",There were 4 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,27,27,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.7302165000001,140.7329214999918,142.21557759994175,None,141.2159166999627,141.7160030999221,z,0.5375475999899209,142.21557759994175,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
2,2_circles_notlined.png,"(0.5, 0.5)",There were 3 circles,No,m,Low,No,0,0,0,0,,,,,0,28,28,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.78771459998097,143.79947559989523,145.28229609993286,None,144.28176089993212,144.78269579994958,m,0.4948075999272987,145.28229609993286,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
3,3_circles_notlined.png,"(0.5, 0.5)",There were 3 circles,Yes,z,Low,No,0,0,0,0,,,,,0,29,29,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.80078809999395,146.81604679999873,148.29878869990353,None,147.2992316999007,147.7994275999954,z,0.5016170999733731,148.29878869990353,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
3,3_circles_notlined.png,"(0.5, 0.5)",There were 4 circles,No,m,Low,No,0,0,0,0,,,,,0,30,30,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.8404524999205,149.84881989995483,151.33165469998494,None,150.33177960000467,150.8322909999406,m,0.43795970000792295,151.33165469998494,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
4,4_circles_notlined.png,"(0.6, 0.5)",There were 5 circles,No,m,Low,No,0,0,0,0,,,,,0,31,31,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.82099829998333,152.83219619991723,154.31485689990222,None,153.31485530000646,153.81587890000083,m,0.49415980000048876,154.31485689990222,None,6,001,2021_Dec_08_1216,project_circles,2021.2.3,60.16231793709155,
