circle_amount,file_name,size,prompt,correct_answer,correct_key_resp,condition_size,condition_lined,practice_section.thisRepN,practice_section.thisTrialN,practice_section.thisN,practice_section.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials_low.thisRepN,trials_low.thisTrialN,trials_low.thisN,trials_low.thisIndex,trials_high.thisRepN,trials_high.thisTrialN,trials_high.thisN,trials_high.thisIndex,image_2.started,image_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,cross_2.started,cross_2.stopped,practice_low.started,practice_low.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,yes_no_prac.started,yes_no_prac.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,cross.started,cross.stopped,text.started,text.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,27.73012349999044,None,z,77.02281519991811,27.73012349999044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,2021_Dec_07_1550,project_circles,2021.2.3,59.92153875358239,
4,4_circles_lined.png,"(0.5, 0.5)",There were 4 circles,Yes,z,,,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,104.94926649995614,105.95862659998238,106.42469299992081,107.42428369994741,107.927829299937,108.93852909991983,z,1.4010588000528514,107.927829299937,None,107.927829299937,None,109.38646529999096,None,,,,,,,,,,,,,,,,,,,,,,004,2021_Dec_07_1550,project_circles,2021.2.3,59.92153875358239,
2,2_circles_lined.png,"(0.5, 0.25)",There were 2 circles,Yes,z,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,110.41811979992781,111.42585070000496,111.90944139997009,112.92496400000528,113.40931130002718,114.40718069998547,z,1.0195559000130743,113.40931130002718,None,113.40931130002718,None,114.46023109997623,None,,,,,,,,,,,,,,,,,,,,,,004,2021_Dec_07_1550,project_circles,2021.2.3,59.92153875358239,
3,3_circles_notlined.png,"(0.5, 0.5)",There were 3 circles,Yes,z,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,115.5225995000219,116.52472809993196,117.00792749994434,118.0060740999179,118.50612829998136,None,z,0.9282711000414565,118.50612829998136,None,118.50612829998136,None,119.46533419995103,None,,,,,,,,,,,,,,,,,,,,,,004,2021_Dec_07_1550,project_circles,2021.2.3,59.92153875358239,
2,2_circles_lined.png,"(0.5, 0.25)",There were 3 circles,No,m,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,120.48628820001613,121.49168179999106,121.9754095999524,122.97419019998051,123.47577419993468,None,m,0.6699462999822572,123.47577419993468,None,123.47577419993468,None,124.17337809992023,None,,,,,,,,,,,,,,,,,,,,,,004,2021_Dec_07_1550,project_circles,2021.2.3,59.92153875358239,
3,3_circles_notlined.png,"(0.5, 0.5)",There were 4 circles,No,m,,,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,125.21688429999631,126.22440219996497,126.70829199999571,127.70786860003136,128.20900699996855,129.22362089995295,m,1.0403234000550583,128.20900699996855,None,128.20900699996855,None,129.277917600004,None,,,,,,,,,,,,,,,,,,,,,,004,2021_Dec_07_1550,project_circles,2021.2.3,59.92153875358239,
4,4_circles_lined.png,"(0.5, 0.5)",There were 5 circles,No,m,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,130.34600719995797,131.35788349993527,131.84179490001407,132.85762329993304,133.34127620002255,None,m,0.8035505000734702,133.34127620002255,None,133.34127620002255,None,134.17622329993173,None,,,,,,,,,,,,,,,,,,,,,,004,2021_Dec_07_1550,project_circles,2021.2.3,59.92153875358239,
5,5_circles_notlined.png,"(0.7, 0.5)",There were 6 circles,No,m,Low,No,0,0,0,0,,,,,0,0,0,31,,,,,,,,,,,,,,,,,,,,,,,,,135.23365890001878,None,z,12.4664608000312,135.23365890001878,None,None,None,None,None,147.89284159999806,148.9063073999714,150.39269989996683,151.40655279997736,149.39030430000275,149.89056319999509,z,1.8476270999526605,150.39269989996683,None,,004,2021_Dec_07_1550,project_circles,2021.2.3,59.92153875358239,
5,5_circles_notlined.png,"(0.7, 0.5)",There were 5 circles,Yes,z,Low,No,0,0,0,0,,,,,0,1,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.35254079999868,153.35770990001038,154.83973130001687,None,153.83891459996812,154.33870570000727,z,0.8790353999938816,154.83973130001687,None,,004,2021_Dec_07_1550,project_circles,2021.2.3,59.92153875358239,
5,5_circles_lined.png,"(0.75, 0.5)",There were 5 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,2,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.81111359992065,156.82302589993924,158.30705349997152,None,157.3072727000108,157.80646599992178,z,0.8725103000178933,158.30705349997152,None,,004,2021_Dec_07_1550,project_circles,2021.2.3,59.92153875358239,
4,4_circles_lined.png,"(0.5, 0.5)",There were 3 circles,No,m,Low,Yes,0,0,0,0,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.26277239993215,160.27355299994815,161.75645560002886,None,160.75687959999777,161.25781189999543,m,0.654158900026232,161.75645560002886,None,,004,2021_Dec_07_1550,project_circles,2021.2.3,59.92153875358239,
2,2_circles_lined.png,"(0.5, 0.25)",There were 4 circles,No,m,Low,Yes,0,0,0,0,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.4738383999793,163.4730517999269,164.95870359998662,None,163.95522230002098,164.45736050000414,m,0.7834738999372348,164.95870359998662,None,,004,2021_Dec_07_1550,project_circles,2021.2.3,59.92153875358239,
4,4_circles_lined.png,"(0.5, 0.5)",There were 5 circles,No,m,Low,Yes,0,0,0,0,,,,,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.81835580000188,166.8225672999397,168.3062273999676,None,167.30779520003125,167.80804429994896,m,0.9371487000025809,168.3062273999676,None,,004,2021_Dec_07_1550,project_circles,2021.2.3,59.92153875358239,
