circle_amount,file_name,size,prompt,correct_answer,correct_key_resp,condition_size,condition_lined,practice_section.thisRepN,practice_section.thisTrialN,practice_section.thisN,practice_section.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials_low.thisRepN,trials_low.thisTrialN,trials_low.thisN,trials_low.thisIndex,trials_high.thisRepN,trials_high.thisTrialN,trials_high.thisN,trials_high.thisIndex,image_2.started,image_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,cross_2.started,cross_2.stopped,practice_low.started,practice_low.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,yes_no_prac.started,yes_no_prac.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,cross.started,cross.stopped,text.started,text.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
4,4_circles_lined.png,"(0.5, 0.5)",There were 3 circles,No,m,Low,Yes,0,0,0,0,,,,,0,7,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.0169233,285.0256411,286.4922606,None,285.4922895,285.9921863,m,0.6392492,286.4922606,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
2,2_circles_notlined.png,"(0.5, 0.5)",There were 2 circles,Yes,z,Low,No,0,0,0,0,,,,,0,8,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.2168661,288.2254997,289.7076326,None,288.7088289,289.2090117,z,0.5410676,289.7076326,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
2,2_circles_lined.png,"(0.5, 0.25)",There were 3 circles,No,m,Low,Yes,0,0,0,0,,,,,0,9,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.3094752,291.3255619,292.7909636,None,291.7915314,292.2925199,m,0.5895002,292.7909636,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
4,4_circles_lined.png,"(0.5, 0.5)",There were 4 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.4624971,294.4748531,295.9584043,None,294.9584824,295.4587875,z,0.4911738,295.9584043,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
4,4_circles_notlined.png,"(0.6, 0.5)",There were 4 circles,Yes,z,Low,No,0,0,0,0,,,,,0,11,11,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.5611885,297.575312,299.0415265,None,298.0591381,298.5753861,z,0.854367,299.0415265,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
2,2_circles_notlined.png,"(0.5, 0.5)",There were 3 circles,No,m,Low,No,0,0,0,0,,,,,0,12,12,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.9693363,300.9746929,302.4408649,None,301.4412085,301.9421462,m,0.6618586,302.4408649,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
2,2_circles_lined.png,"(0.5, 0.25)",There were 2 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,13,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.1611876,304.1746376,305.6415249,None,304.6420843,305.1413165,z,0.5761071,305.6415249,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
3,3_circles_notlined.png,"(0.5, 0.5)",There were 2 circles,No,m,Low,No,0,0,0,0,,,,,0,14,14,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.2723749,307.2749475,308.7582259,None,307.7579021,308.2579678,z,0.5285647,308.7582259,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
3,3_circles_notlined.png,"(0.5, 0.5)",There were 3 circles,Yes,z,Low,No,0,0,0,0,,,,,0,15,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.3579596,310.3578525,311.8411782,None,310.8408837,311.3411701,m,0.4745516,311.8411782,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
2,2_circles_notlined.png,"(0.5, 0.5)",There were 4 circles,No,m,Low,No,0,0,0,0,,,,,0,16,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.3917939,313.3910092,314.873884,315.8741718,313.8737582,314.3743728,m,1.0054081,314.873884,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
